# >>> AUTO-GEN BEGIN: AE IAU Star Names (WGSN) v2024-03
# Derived from HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); official WGSN list as of 2023-03.
# Columns: name,hip,hr,ra_deg,dec_deg,notes
name,hip,hr,ra_deg,dec_deg,notes
Ross 614,30920,,97.347495,-2.813979,Gliese 234A; Constellation Mon; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ross 686,,,135.210075,5.242018,Gliese 333.2A; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ross 687,44263,,135.209715,5.241545,Gliese 333.2B; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rotanev,101769,7882,309.387240,14.595087,Bayer/Flamsteed 6Bet Del; Constellation Del; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ruchbah,6686,403,21.453240,60.235283,Bayer/Flamsteed 37Del Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Rukbat,95347,7348,290.971545,-40.615940,Bayer/Flamsteed Alp Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sabik,84012,6378,257.594520,-15.724910,Bayer/Flamsteed 35Eta Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Saclateni,23453,1612,75.619515,41.075837,Bayer/Flamsteed 8Zet Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sadachbia,110395,8518,335.414070,-1.387331,Bayer/Flamsteed 48Gam Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sadalbari,112748,8684,342.500775,24.601579,Bayer/Flamsteed 48Mu  Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sadalmelik,109074,8414,331.445985,-0.319851,Bayer/Flamsteed 34Alp Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sadalsuud,106278,8232,322.889730,-5.571172,Bayer/Flamsteed 22Bet Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sadr,100453,7796,305.557095,40.256679,Bayer/Flamsteed 37Gam Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sagarmatha,56572,,173.964675,-4.755697,HD 100777; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Saiph,27366,2004,86.939115,-9.669605,Bayer/Flamsteed 53Kap Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Salm,115250,8880,350.159340,23.740337,Bayer/Flamsteed 62Tau Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sargas,86228,6553,264.329700,-42.997824,Bayer/Flamsteed The Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sarin,84379,6410,258.757965,24.839204,Bayer/Flamsteed 65Del Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sceptrum,21594,1481,69.545100,-14.304020,Bayer/Flamsteed 53    Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Scheat,113881,8775,345.943515,28.082789,Bayer/Flamsteed 53Bet Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Schedar,3179,168,10.126740,56.537331,Bayer/Flamsteed 18Alp Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Secunda Hyadum,20455,1373,65.733705,17.542514,Bayer/Flamsteed 61Del1Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Segin,8886,542,28.598760,63.670101,Bayer/Flamsteed 45Eps Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Seginus,71075,5435,218.019540,38.308253,Bayer/Flamsteed 27Gam Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sham,96757,7479,295.024125,18.013890,Bayer/Flamsteed 5Alp Sge; Constellation Sge; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Shama,55664,,171.072330,-1.529076,HD 99109; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sharjah,79431,,243.174060,-18.875503,Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Shaula,85927,6527,263.402175,-37.103821,Bayer/Flamsteed 35Lam Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sheliak,92420,7106,282.519975,33.362667,Bayer/Flamsteed 10Bet Lyr; Constellation Lyr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sheratan,8903,553,28.660020,20.808035,Bayer/Flamsteed 6Bet Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sika,95262,,290.720730,-32.919054,HD 181720; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sirius,32349,2491,101.287215,-16.716116,Bayer/Flamsteed 9Alp CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Situla,111710,8610,339.439095,-4.228056,Bayer/Flamsteed 63Kap Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Skat,113136,8709,343.662555,-15.820820,Bayer/Flamsteed 76Del Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sol,,,0.000000,0.000000,Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Solaris,104780,,318.399945,14.689387,Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Spica,65474,5056,201.298245,-11.161322,Bayer/Flamsteed 67Alp Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Stribor,43674,,133.461735,33.056812,HD 75898; Constellation Lyn; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Struve 2398 A,91768,,280.697685,59.630396,HD 173739; Gliese 725A; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sualocin,101958,7906,309.909525,15.912072,Bayer/Flamsteed 9Alp Del; Constellation Del; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Subra,47508,3852,145.287645,9.892308,Bayer/Flamsteed 14Omi Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Suhail,44816,3634,136.999020,-43.432589,Bayer/Flamsteed Lam Vel; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sulafat,93194,7178,284.735925,32.689557,Bayer/Flamsteed 14Gam Lyr; Constellation Lyr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Syrma,69701,5338,214.003620,-6.000547,Bayer/Flamsteed 99Iot Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Sāmaya,106824,,324.535020,-31.737485,HD 205739; Constellation PsA; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tabit,22449,1543,72.460035,6.961276,Bayer/Flamsteed 1Pi 3Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Taiyangshou,57399,4518,176.512725,47.779406,Bayer/Flamsteed 63Chi UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Taiyi,63076,4916,193.868970,65.438474,Bayer/Flamsteed 8    Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Talitha,44127,3569,134.802420,48.041826,Bayer/Flamsteed 9Iot UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tania Australis,50801,4069,155.582325,41.499516,Bayer/Flamsteed 34Mu  UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tania Borealis,50372,4033,154.274280,42.914365,Bayer/Flamsteed 33Lam UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tapecue,38041,,116.956905,-54.264145,HD 63765; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tarazed,97278,7525,296.564910,10.613261,Bayer/Flamsteed 50Gam Aql; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tarf,40526,3249,124.128840,9.185545,Bayer/Flamsteed 17Bet Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Taygeta,17531,1145,56.302050,24.467278,Bayer/Flamsteed 19    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tegmine,40167,3210,123.053025,17.647771,Bayer/Flamsteed 16Zet2Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tejat,30343,2286,95.740095,22.513586,Bayer/Flamsteed 13Mu  Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Terebellum,98066,7597,298.959765,-26.299506,Bayer/Flamsteed 58Ome Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Theemin,21393,1464,68.887680,-30.562341,Bayer/Flamsteed 52Ups2Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Thuban,68756,5291,211.097475,64.375850,Bayer/Flamsteed 11Alp Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tiaki,112122,8636,340.666725,-46.884577,Bayer/Flamsteed Bet Gru; Constellation Gru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tianguan,26451,1910,84.411195,21.142549,Bayer/Flamsteed 123Zet Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tianyi,62423,4863,191.893095,66.790304,Bayer/Flamsteed 7    Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Timir,80687,,247.117305,-13.399640,HD 148427; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Titawin,7513,458,24.199485,41.405459,Bayer/Flamsteed 50Ups And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Toliman,71681,5460,219.905190,-60.838300,Bayer/Flamsteed Alp2Cen; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tonatiuh,58952,4609,181.311765,76.905734,HD 104985; Constellation Cam; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Torcular,8198,510,26.348460,9.157736,Bayer/Flamsteed 110Omi Psc; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tupi,17096,,54.929880,-52.915838,HD 23079; Constellation Ret; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tupã,60644,,186.443355,-64.022088,HD 108147; Constellation Cru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Tureis,39757,3185,121.886055,-24.304324,Bayer/Flamsteed 15Rho Pup; Constellation Pup; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ukdah,47431,3845,144.964005,-1.142810,Bayer/Flamsteed 35Iot Hya; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Uklun,57291,,176.210400,-58.703709,HD 102117; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Unukalhai,77070,5854,236.066970,6.425627,Bayer/Flamsteed 24Alp Ser; Constellation Ser; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Uruk,96078,,293.017335,16.474290,HD 231701; Constellation Sge; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Uúba,117883,,358.667370,-37.627924,Constellation Scl; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Van Maanen's Star,3829,,12.291240,5.388610,Gliese 35; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Vega,91262,7001,279.234600,38.783692,Bayer/Flamsteed 3Alp Lyr; Constellation Lyr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Veritate,116076,8930,352.822350,39.236198,Bayer/Flamsteed 14    And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Vindemiatrix,63608,4932,195.544170,10.959150,Bayer/Flamsteed 47Eps Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wasat,35550,2777,110.030745,21.982320,Bayer/Flamsteed 55Del Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wazn,27628,2040,87.739935,-35.768309,Bayer/Flamsteed Bet Col; Constellation Col; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wezen,34444,2693,107.097855,-26.393200,Bayer/Flamsteed 25Del CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wolf 1061,80824,,247.575255,-12.662594,Gliese 628; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wolf 359,,,164.122260,7.015320,Gliese 406; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Wurren,5348,338,17.096130,-55.245760,Bayer/Flamsteed Zet Phe; Constellation Phe; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Xamidimura,82514,6247,252.967635,-38.047380,Bayer/Flamsteed Mu 1Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Xihe,91852,7043,280.900440,36.556605,HD 173416; Constellation Lyr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Xuange,69732,5351,214.096110,46.088305,Bayer/Flamsteed 19Lam Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Yed Posterior,79882,6075,244.580370,-4.692511,Bayer/Flamsteed 2Eps Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Yed Prior,79593,6056,243.586410,-3.694323,Bayer/Flamsteed 1Del Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Yildun,85822,6789,263.053770,86.586460,Bayer/Flamsteed 23Del UMi; Constellation UMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zaniah,60129,4689,184.976490,-0.666803,Bayer/Flamsteed 15Eta Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zaurak,18543,1231,59.507355,-13.508515,Bayer/Flamsteed 34Gam Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zavijava,57757,4540,177.673830,1.764718,Bayer/Flamsteed 5Bet Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zhang,48356,3903,147.869550,-14.846603,Bayer/Flamsteed 39Ups1Hya; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zibal,15197,984,48.958440,-8.819730,Bayer/Flamsteed 13Zet Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zosma,54872,4357,168.527070,20.523717,Bayer/Flamsteed 68Del Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zubenelgenubi,72622,5531,222.719655,-16.041778,Bayer/Flamsteed 9Alp2Lib; Constellation Lib; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zubenelhakrabi,76333,5787,233.881575,-14.789537,Bayer/Flamsteed 38Gam Lib; Constellation Lib; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Zubeneschamali,74785,5685,229.251735,-9.382917,Bayer/Flamsteed 27Bet Lib; Constellation Lib; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
# >>> AUTO-GEN END: AE IAU Star Names (WGSN) v2024-03
